term,weight
abhorrent,-0.7
able,0.5
abridged,0.1
abrupt,-0.125
absence,-0.0125
absolute,0.2
absorbed,0.3
absorbing,0.2
absurd,-0.5
abundant,0.6
accessible,0.375
accomplished,0.2
accurate,0.4
acquainted,0.5
across-the-board,0.1
action,0.1
active,-0.13333333333333333
acuate,0.1
acute,0.6
adamant,0.1
addicted,-0.4
addled,-0.4666666666666667
adept,0.6
adequate to,-0.4
adequate,0.3333333333333333
adjectival,0.1
adorable,0.5
adoring,0.2
adult,0.1
advanced,0.4
adventurous,0.5
adversative,-0.1
advertent,0.5
aeriform,-0.25
affable,0.8
affirmative,0.6
affluent,0.6499999999999999
afraid,-0.6
aged,-0.1
aghast,-0.6
agile,0.5
agitative,-0.6
aired,0.1
airheaded,0.5
alarming,-0.1
alas,-0.4
alcoholic,-0.25
algid,-0.4
alien,-0.25
alienating,-0.3
alive,0.1
all-around,0.2
alleged,-0.1
alleviated,0.5
allusions,-0.1
amateur,-0.25
amateurish,-0.4
amatory,0.1
amazing,0.6000000000000001
ambitious,0.25
amenable,0.2
amusing,0.6
anger,-0.7
angered,-0.75
angry,-0.5
annoyed,-0.4
annoying,-0.8
anxious,-0.25
aphonic,-0.1
appalled,-0.8
appalling,-0.35
apparent,0.05
appealing,0.5
appetizing,0.2
applaudable,0.7
applicative,0.4
apportioned,0.3
apposite,0.4
appreciated,0.2
appreciative,0.6
appropriate,0.5
approximate,-0.4
apt,0.6
arbitrary,-0.1
arduous,-0.35
aroused,0.1
arrest,-0.05
artesian,0.9
artificial,-0.6
artistic,0.3333333333333333
ascetic,-0.5
ashen,-0.5
askew,-0.1
assumptive,-0.5
astonishing,0.5
astounding,0.6
astute,0.55
atrocious,-0.7
attendant,0.2
attention-getting,0.4
attentive,0.4
attractive,0.8
aureate,0.2
authentic,0.5
authoritative,0.3
autistic,-0.2
autonomous,0.4
available,0.4
average,-0.15
avid,0.25
aware,0.25
aweary,-0.5
awesome,1.0
awful,-1.0
awkward,-0.6
