term,weight
abhorrent,0.8
able,0.625
above,0.1
abridged,0.5
abrupt,1.0
absolute,0.9
absorbed,0.9
absorbing,0.95
absurd,1.0
abundant,0.95
accessible,0.375
accomplished,0.5
accurate,0.6333333333333333
acquainted,0.6
across-the-board,0.9
action,0.1
active,0.6
actual,0.1
acuate,0.4
acute,0.9
adamant,0.7
addicted,0.6
addictive,0.9
addled,0.8333333333333334
adept,0.9
adequate to,0.6
adequate,0.3333333333333333
adjectival,0.1
administrable,0.3
adorable,1.0
adoring,0.9
adult,0.3
advanced,0.6
adventurous,0.9
adversative,0.3
advertent,0.9
aeriform,0.75
affable,1.0
affirmative,0.9
affluent,0.95
afloat,0.1
afraid,0.9
aged,0.4
aghast,0.9
agile,0.75
agitative,1.0
aglow,0.2
aired,0.7
airheaded,1.0
alarming,0.6
alas,1.0
alcoholic,0.5
algid,0.9
alien,0.75
alienating,0.3
alive,0.4
all-around,0.4
alleged,0.1
alleviated,0.8
allusions,0.1
amateur,0.25
amateurish,0.8
amatory,0.1
amazing,0.9
ambitious,0.75
amenable,0.6
amusing,1.0
anger,0.2
angered,0.85
angry,1.0
annoyed,0.8
annoying,0.9
anxious,1.0
aphonic,0.1
appalled,1.0
appalling,0.9
apparent,0.35
appealing,0.5
appetizing,0.6
applaudable,0.9
applicative,0.5
apportioned,0.6
apposite,0.8
appreciated,0.1
appreciative,0.9
appropriate,0.5
approximate,0.6
apt,1.0
arbitrary,0.6
arduous,0.85
aroused,0.6
artesian,0.9
artificial,1.0
artistic,1.0
ascetic,0.9
ashen,0.6
askew,0.4
assumptive,1.0
astonishing,1.0
astounding,1.0
astute,0.9
atrocious,1.0
attendant,0.4
attention-getting,0.8
attentive,0.9
attractive,1.0
atypical,0.2
aureate,0.2
authentic,0.75
authoritative,0.9
autistic,0.2
autonomous,0.7
available,0.4
average,0.39999999999999997
avid,1.0
aware,0.25
aweary,0.6
awesome,1.0
awful,1.0
awkward,1.0
ahw,0.9
aww,0.9
awww,0.9
awwww,0.9
axiomatic,0.3
bad,0.6666666666666666
badness,0.2
balmy,0.8500000000000001
banal,0.5
banded,0.1
bang-up,0.7
barbarian,0.95
barbarous,0.9
bare,0.1
base,1.0
basic,0.125
bass,0.5
battleful,0.9
beautiful,1.0
becoming,0.8500000000000001
beefy,0.9
behind,0.7
believable,0.5
beloved,1.0
best,0.3
better,0.5
bewitching,1.0
big,0.1
bigger,0.5
bitter,0.5
bizarre,0.6
black,0.43333333333333335
bland,0.8333333333333334
blasted,0.9
blatant,0.5
bleak,1.0
blech,1.0
blind,0.6666666666666666
bloodstained,0.8
bloodthirsty,0.9
bloody,0.9
blue,0.1
bodily,0.1
bogged,0.1
bold,0.6666666666666666
bonny,0.9
bootleg,0.9
bored,1.0
boring,1.0
boundless,0.7
brainsick,0.9
brash,0.9
bravado,0.4
brave,1.0
breathtaking,1.0
brief,0.3333333333333333
bright,0.8
brilliant,1.0
broad,0.3125
broad-minded,0.6
broken,0.4
brushed,0.1
brutal,1.0
budding,0.2
busy,0.3
cacophonous,0.8
calculable,0.8
calm,0.75
can't,0.1
candid,0.8
capable,0.4
captivating,1.0
captive,0.6
careful,1.0
careless,0.9
cast-iron,0.9
casual,0.8666666666666667
catching,0.9
catholic,0.1
caustic,0.6
ceaseless,0.4
celebrated,0.75
center,0.1
central,0.25
centric,0.1
ceremonial,0.35
certain,0.5714285714285714
challenging,1.0
changeless,0.15000000000000002
characteristic,0.4666666666666667
charismatic,1.0
charitable,0.8
charming,1.0
cheap,0.7
cheerful,1.0
cheery,1.0
cheesiest,0.5
cheesy,1.0
chicken,0.95
childish,0.8
chilling,0.9
chilly,0.9
chitchat,0.3
choppy,0.2
churning,0.9
cinematic,0.2
civilized,0.9
